payment_id,customer_id,amount,currency,status,failure_reason,payment_method,retry_count,previous_success_rate,days_since_last_attempt,recovery_status
pay_1062,cust_115,299,INR,failed,expired_card,wallet,1,0.77,6,pending
pay_1063,cust_105,499,INR,success,,upi,0,0.82,3,not_required
pay_1064,cust_114,9999,INR,failed,timeout,upi,1,0.93,1,pending
pay_1065,cust_126,9999,INR,success,,netbanking,3,0.69,6,not_required
pay_1066,cust_126,9999,INR,failed,expired_card,card,3,0.41,3,pending
pay_1067,cust_107,9999,INR,success,,card,2,0.55,4,not_required
pay_1068,cust_122,2499,INR,success,,upi,1,0.32,6,not_required
pay_1069,cust_113,999,INR,success,,upi,3,0.53,7,not_required
pay_1070,cust_115,4999,INR,success,,wallet,0,0.89,6,not_required
pay_1071,cust_117,2499,INR,success,,netbanking,3,0.88,6,not_required
pay_1072,cust_112,999,INR,failed,bank_declined,wallet,2,0.55,0,pending
pay_1073,cust_129,4999,INR,success,,card,3,0.94,0,not_required
pay_1074,cust_105,199,INR,success,,upi,3,0.31,7,not_required
pay_1075,cust_124,4999,INR,success,,netbanking,1,0.56,5,not_required
pay_1076,cust_130,1499,INR,failed,network_error,wallet,0,0.58,0,pending
pay_1077,cust_126,299,INR,success,,upi,0,0.96,3,not_required
pay_1078,cust_118,499,INR,success,,card,1,0.58,1,not_required
pay_1079,cust_124,9999,INR,failed,network_error,netbanking,1,0.68,1,pending
pay_1080,cust_112,1499,INR,failed,timeout,upi,0,0.94,6,pending
pay_1081,cust_127,999,INR,failed,timeout,upi,1,0.28,4,pending
pay_1082,cust_116,299,INR,failed,network_error,upi,3,0.73,1,pending
pay_1083,cust_120,199,INR,success,,wallet,3,0.28,5,not_required
pay_1084,cust_119,9999,INR,failed,expired_card,card,1,0.79,4,pending
pay_1085,cust_126,9999,INR,failed,expired_card,wallet,2,0.46,3,pending
pay_1086,cust_110,1499,INR,failed,bank_declined,wallet,3,0.66,6,pending
pay_1087,cust_110,2499,INR,success,,card,3,0.37,4,not_required
pay_1088,cust_115,1499,INR,success,,upi,1,0.27,6,not_required
pay_1089,cust_102,999,INR,success,,wallet,3,0.56,0,not_required
pay_1090,cust_115,4999,INR,success,,card,2,0.73,5,not_required
pay_1091,cust_108,2499,INR,success,,wallet,2,0.48,7,not_required
pay_1092,cust_106,999,INR,success,,upi,1,0.45,2,not_required
pay_1093,cust_109,9999,INR,success,,netbanking,2,0.98,3,not_required
pay_1094,cust_108,499,INR,success,,netbanking,0,0.77,2,not_required
pay_1095,cust_103,199,INR,success,,netbanking,1,0.71,7,not_required
pay_1096,cust_108,1499,INR,failed,expired_card,wallet,3,0.47,0,pending
pay_1097,cust_104,9999,INR,failed,insufficient_funds,upi,3,0.59,0,pending
pay_1098,cust_119,1499,INR,success,,upi,1,0.29,6,not_required
pay_1099,cust_127,999,INR,success,,wallet,3,0.93,4,not_required
pay_1100,cust_130,4999,INR,success,,netbanking,0,0.69,1,not_required
